pairID	gold_label	Sentence1	Sentence2	Explanation_1	Sentence1_si	Sentence2_si	Explanation_1_si
414574330.jpg#3r1n	neutral	Person in raincoat pointing to sales sign.	A person is advertising for a new store opening.	The person is not necessarily advertising and the sign is not necessarily for a new store opening.	Oseba v dežnem plašču, ki kaže na znak za prodajo.	Oseba oglašuje odprtje nove trgovine.	Ni nujno, da oseba oglašuje in napis ni nujno odprtje nove trgovine.
4684623658.jpg#3r1c	contradiction	A woman in a pink blouse is walking down a sidewalk.	The woman in the pink blouse is riding in a taxi cab.	A woman can't be walking down a sidewalk while also riding in a taxi cab.	Ženska v roza bluzi hodi po pločniku.	Ženska v roza bluzi se pelje v taksiju.	Ženska ne more hoditi po pločniku, hkrati pa se voziti v taksiju.
100577935.jpg#4r1n	neutral	A man getting a tattoo on his back.	A man is having a heart tatooed on his back.	Not every tattoo is a heart.	Moški, ki si dela tetovažo na hrbtu.	Moški ima na hrbtu vtetovirano srce.	Vsaka tetovaža ni srce.
324208502.jpg#4r1c	contradiction	two men sit on a bench.	Two men are sleeping on the bench.	One can either sit or sleep.	dva moška sedita na klopi.	Dva moška spita na klopi.	Lahko sedi ali spi.
4716364657.jpg#4r1e	entailment	Two women talk while walking downtown.	Two women talk with each other	For two women to talk while walking downtown is a way to talk with each other.	Dve ženski se pogovarjata med sprehodom po centru mesta.	Dve ženski se pogovarjata	Za dve ženski, da se pogovarjata med sprehodom po mestu, je način, da se pogovarjata druga z drugo.
1039360778.jpg#1r1n	neutral	A woman relaxes with her bike on a red blanket in a field of green grass and trees.	A woman gets ready for a picnic.	Relaxing on a blanket does not imply one is having a picnic.	Ženska se sprošča s svojim kolesom na rdeči odeji na polju zelene trave in dreves.	Ženska se pripravlja na piknik.	Sprostitev na odeji ne pomeni, da imate piknik.
3680138.jpg#0r3c	contradiction	A girl leans on a kitchen counter laughing, with the waistband of her pants at crotch level.	Guy wearing short pants	The Guy wearing short pants contradicts information of a Girl leaning on counter with a crotch level waistband in the first sentence.	Deklica se smeje naslanja na kuhinjski pult s pasom svojih hlač v višini mednožja.	Fant, ki nosi kratke hlače	Tip, ki nosi kratke hlače, je v nasprotju z informacijami o dekletu, ki se naslanja na pult s pasom v višini mednožja v prvem stavku.
23329858.jpg#1r1n	neutral	Two men are working on a circular window by standing on chairs.	Two men are upset they forgot their ladders.	we do not know why the men are upset.	Dva moška delata na okroglem oknu tako, da stojita na stolih.	Dva moška sta razburjena, ker sta pozabila lestve.	ne vemo, zakaj so moški razburjeni.
1984936420.jpg#4r1e	entailment	Two kids fishing near a river.	The boys are fishing.	kids fishing means boys are fishing	Dva otroka lovita ribe blizu reke.	Fantje lovijo ribe.	otroci lovijo ribe pomeni, da fantje lovijo ribe
894928353.jpg#1r1e	entailment	The three children are playing on the rails.	Kids playing on rails.	Kids are children.	Trije otroci se igrajo na tirnicah.	Otroci, ki se igrajo na tirnicah.	Otroci so otroci.
7814015428.jpg#0r3e	entailment	A person, who appears to be male, is riding a dirt bike on a gravelly course.	The individual is navigating the terrain with their bike.	The individual has to navigate through terrain to ride a dirt bike.	Oseba, ki je videti kot moški, vozi makadamsko kolo po makadamski progi.	Posameznik se s kolesom premika po terenu.	Posameznik mora krmariti po terenu, da se lahko vozi s makadamskim kolesom.
185188962.jpg#2r2n	neutral	A middle-aged man talking to his daughter and playing with his grandchild.	A man is trying to tell his daughter that he loves her more than his grandchild	A man is playing with his grandchild	Moški srednjih let se pogovarja s hčerko in se igra z vnukom.	Moški skuša svoji hčerki dopovedati, da jo ljubi bolj kot svojega vnuka	Moški se igra s svojim vnukom
3252056028.jpg#3r1e	entailment	A volleyball player in an orange jersey performing a jump serve.	Someone is playing volleyball.	someone is a player.	Odbojkarica v oranžnem dresu izvaja servis v skoku.	Nekdo igra odbojko.	nekdo je igralec.
81091373.jpg#4r1c	contradiction	A pilot standing outside of an airplane.	A man is inside of an airplane.	The subject cannot be outside of an airplane and inside of an airplane simultaneously.	Pilot, ki stoji zunaj letala.	Moški je v letalu.	Predmet ne more biti hkrati zunaj letala in znotraj letala.
134642833.jpg#0r1c	contradiction	Here is a little boy whose being very cooperative and sweeping the outside porch area with a large broom on the front porch that has a strong railing.	A little boy yelling loudly and protesting while he is being made to sweep the porch.	cooperative and protesting are not the same.	Tukaj je mali deček, ki zelo sodeluje in pometa zunanjo verando z veliko metlo na sprednji verandi, ki ima močno ograjo.	Majhen deček glasno kriči in protestira, medtem ko so ga prisilili, da pometa verando.	sodelovati in protestirati ni isto.
1035392784.jpg#0r1e	entailment	A man in black with long hair playing a guitar with stickers on it.	The man is holding a guitar.	When you are playing a guitar, you are usually holding it.	Moški v črnem z dolgimi lasmi igra kitaro z nalepkami.	Moški drži kitaro.	Ko igrate kitaro, jo običajno držite.
2268109835.jpg#2r1e	entailment	A person uses a long-handled net to catch something in the air.	The person is moving at least one arm.	You often must move to catch with a net.	Oseba uporablja mrežo z dolgim ročajem, da nekaj ujame v zraku.	Oseba premika vsaj eno roko.	Za ulov z mrežo se morate pogosto premikati.
5241430403.jpg#0r5c	contradiction	Three construction workers wearing white hats and neon green vests stand against boating rail while a bridge and city sit in the background.	Three workers are swimming.	The workers that stand against a boating rail cannot be the ones swimming.	Trije gradbeni delavci z belimi klobuki in neonsko zelenimi brezrokavniki stojijo ob ograji za čolne, v ozadju pa stojita most in mesto.	Trije delavci plavajo.	Delavci, ki stojijo ob ograji za čolne, ne morejo biti tisti, ki plavajo.
1158505981.jpg#3r1e	entailment	People are engaged in worked involving laptops.	People are using computers.	Laptops are a type of computer.	Ljudje se ukvarjajo z delom, ki vključuje prenosne računalnike.	Ljudje uporabljajo računalnike.	Prenosni računalniki so vrsta računalnika.
3643981804.jpg#1r1e	entailment	Man standing and pointing toward a sign that has Morton Rachofsky realtors' information on it.	The man is standing outside.	The man is standing outside is same as the man standing and pointing towards a sign.	Moški stoji in kaže proti znaku, na katerem so informacije nepremičninskega posrednika Morton Rachofsky.	Moški stoji zunaj.	Človek, ki stoji zunaj, je enak človeku, ki stoji in kaže proti znaku.
7024547461.jpg#0r1c	contradiction	A little girl in a purple polka-dot shirt is standing at a school table, experimenting with electric circuits.	A girl experiments with paints during art class.	One girl is experimenting with electric circuits and the other is painting.	Deklica v vijoličasti srajci s pikami stoji za šolsko mizo in eksperimentira z električnimi vezji.	Deklica eksperimentira z barvami med likovnim poukom.	Ena deklica eksperimentira z električnimi vezji, druga pa slika.
3557148230.jpg#3r1e	entailment	The small child is standing on a tricycle.	a child enjoying their first bike	Both have child.	Majhen otrok stoji na triciklu.	otroka, ki uživa na svojem prvem kolesu	Oba imata otroka.
126042604.jpg#3r1c	contradiction	Boy hanging on a jungle-gym at the park	A boy goes down a slide.	either the boy is on the slide or jungle gym	Deček visi na telovadnici v džungli v parku	Fant se spusti po toboganu.	ali je fant na toboganu ali v džungli
3552507374.jpg#4r1e	entailment	Two people a man and woman riding an elephant in a field.	Three people are riding on a big animal outdoors.	"An elephant is a ""big animal"" and a field is usually found outdoors."	Dva človeka, moški in ženska, jahata slona na polju.	Trije ljudje jahajo na veliki živali na prostem.	Slon je &quot;velika žival&quot; in polje je običajno na prostem.
3099294440.jpg#2r1c	contradiction	Here a Rock band poses in front of concert.	A pianist posing at a concert.	A rock band is a different genre than a pianist.	Tukaj rock skupina pozira pred koncertom.	Pianist pozira na koncertu.	Rock skupina je drugačna zvrst kot pianist.
3710073758.jpg#0r1c	contradiction	A person rides a jump high into the air and upside down on a bicycle.	Two men are riding bikes past some shops.	Either there is one person or men.	Oseba skoči visoko v zrak in obrnjena na kolesu.	Dva moška se peljeta s kolesi mimo nekih trgovin.	Bodisi je ena oseba ali moški.
542389533.jpg#2r1c	contradiction	Young children in traditional African clothing smile in front of their village.	A blackbird is pecking at a peach on a tree.	Children in front of their village are not a blackbird on a tree.	Majhni otroci v tradicionalnih afriških oblačilih se nasmihajo pred svojo vasjo.	Kos kljuva breskev na drevesu.	Otroci pred svojo vasjo niso kos na drevesu.
3365049500.jpg#0r4c	contradiction	This is the image of an Asian woman in bikinis with her legs folded and looking at an I-Pod phone on top of a swimming pool deck.	Several men in suits stand near a rock.	It cannot be an Asian woman in bikinis and men in suits simultaneously.	To je podoba azijske ženske v bikinijih s pokrčenimi nogami in gleda v telefon I-Pod na vrhu bazena.	Več moških v oblekah stoji blizu skale.	Ne more biti istočasno azijska ženska v bikinijih in moški v oblekah.
2249094622.jpg#0r1n	neutral	An old man wearing white is in front of an cart with piles of oranges in a market area.	A man was forced to wear white by his wife.	No way to know the man was forced by his wife.	Starec, oblečen v belo, stoji pred vozičkom s kupi pomaranč na tržnici.	Moškega je žena prisilila v belo obleko.	Ni mogoče vedeti, da je moškega prisilila žena.
3220140234.jpg#1r1n	neutral	Two sumo wrestlers are fighting in front of a referee and two spectators.	Two sumo wrestlers fighting for the title	The two sumo wrestlers may not be fighting for the title.	Dva sumoborca se borita pred sodnikom in dvema gledalcema.	Dva sumoborca se borita za naslov	Sumoborca se morda ne borita za naslov.
3435648640.jpg#3r1c	contradiction	Two dogs nussle one another in the grass near a lake.	The animals never leave the house.	Two dogs is specific as opposed to the animals. (the word nussle is spelled wrong)	Dva psa se božata v travi blizu jezera.	Živali nikoli ne zapustijo hiše.	Dva psa sta specifika v nasprotju z živalmi. (beseda nussle je napačno napisana)
221421001.jpg#2r2n	neutral	A boy wearing an orange shirt and brown shorts is jumping.	A boy is excited about his party and jumping in the air while wearing brown shorts and an orange shirt.	hes excited about the party	Fant, oblečen v oranžno majico in rjave kratke hlače, skače.	Fant je navdušen nad svojo zabavo in skakanjem v zrak, oblečen v rjave kratke hlače in oranžno srajco.	je navdušen nad zabavo
5217054772.jpg#0r2e	entailment	A woman in a flower dress has attached a piece of green fabric with five wooden cylinders pushed through them to her waste and is stretching the fabric.	There is a woman in a flower dress that attached a piece of fabric to her waist.	a person with dress attached with a piece of fabric changing the fabric by stretching	Ženska v obleki s cvetjem je na svoje odpadke pritrdila kos zelenega blaga s petimi lesenimi valji, ki so potisnjeni skozi njih, in razteguje blago.	Tam je ženska v obleki s cvetjem, ki si je na pas pritrdila kos blaga.	oseba z obleko, pritrjeno s kosom blaga, ki spreminja tkanino z raztezanjem
51565199.jpg#4r1c	contradiction	the old people and the young people	All of these people are the same age.	If the same age, can't contain both old and young.	stari ljudje in mladi	Vsi ti ljudje so iste starosti.	Če je ista starost, ne more vsebovati tako starih kot mladih.
2428086758.jpg#1r1c	contradiction	A large dog stands with a smaller dog near the edge of the water.	Two cats stare at fish in the tank.	One cannot be a dog and a dog or cats at the same time.	Velik pes stoji z manjšim psom blizu roba vode.	Dve mački strmita v ribe v akvariju.	Človek ne more biti pes in pes ali mačka hkrati.
475816542.jpg#3r1n	neutral	A black dog and a brown dog with a ball.	There are dogs playing with balls	Just because two dogs are with ball doesn't mean that they are playing.	Črn pes in rjav pes z žogo.	Obstajajo psi, ki se igrajo z žogami	Samo zato, ker sta dva psa z žogo, še ne pomeni, da se igrata.
3972670198.jpg#4r1c	contradiction	Man and Woman are working.	a man shooting his wife	If a man is shooting his wife, they aren't working.	Moški in ženska delata.	moški ustreli svojo ženo	Če moški ustreli svojo ženo, ne delujejo.
2881644926.jpg#2r1c	contradiction	A man standing up talking with another man in some kind of lift.	The man is at home watching TV by himself.	A man cannot be talking with another man, if he is by himself.	Človek vstane in se pogovarja z drugim moškim v nekakšnem dvigalu.	Moški je doma in sam gleda televizijo.	Človek se ne more pogovarjati z drugim človekom, če je sam.
4891151258.jpg#0r1c	contradiction	A woman sitting with a man of about the same age reaches towards a bird who had just landed on the table where the two share a drink.	The bird landed on the man's head.	Table contradicts head because the bird could only land in one place.	Ženska, ki sedi z moškim približno istih let, seže proti ptici, ki je pravkar pristala na mizi, kjer oba pijeta pijačo.	Ptica je človeku pristala na glavi.	Tabela je v nasprotju z glavo, ker je ptica lahko pristala samo na enem mestu.
1386964743.jpg#3r1e	entailment	a kid standing in the middle of a dirt road	A kid is standing outside.	A dirt road is outside.	otrok, ki stoji sredi makadamske ceste	Otrok stoji zunaj.	Zunaj je makadamska cesta.
301746481.jpg#4r1e	entailment	An overhead image of two children and others on dark steps.	People on steps in the dark.	two children and others on dark steps means people on steps in the dark.	Slika nad glavo dveh otrok in drugih na temnih stopnicah.	Ljudje na stopnicah v temi.	dva otroka in drugi na temnih stopnicah pomeni ljudi na stopnicah v temi.
2983837415.jpg#4r1c	contradiction	A crowd of people in Chinese hats lift cloth bundles.	a bunch of kids eat hot dogs on the moon	A crowd of people is not a bunch of kids.	Množica ljudi v kitajskih klobukih dviguje snope blaga.	kup otrok je hrenovke na luni	Množica ljudi ni skupina otrok.
4857570002.jpg#3r1c	contradiction	A crowd of people walk through a busy street.	People at home watching TV	Busy street is not home to anyone.	Množica ljudi hodi po prometni ulici.	Ljudje doma gledajo televizijo	Prometna ulica ni nikogar doma.
4631265529.jpg#0r1c	contradiction	A man that appears to be homeless lays in front of a yellow garage door.	A man is singing on the street corner for change.	Garage and street are different.	Moški, ki je videti kot brezdomec, leži pred rumenimi garažnimi vrati.	Moški poje na vogalu ulice za drobiž.	Garaža in ulica sta različni.
359173181.jpg#3r1e	entailment	Dog races through grass by lone tree.	An animal is running outdoors.	A dog is an animal, and lone tree implies outdoors.	Pes dirka po travi ob osamljenem drevesu.	Na prostem teče žival.	Pes je žival, samotno drevo pa pomeni zunaj.
4860254827.jpg#0r1e	entailment	Two gray-haired individuals stand immediately behind a cluster of sheltered, outdoor tables that have people seated at them.	The individuals are outdoors.	Both subjects are outdoors	Dva sivolasa posameznika stojita takoj za skupino zaščitenih zunanjih miz, za katerimi sedijo ljudje.	Posamezniki so na prostem.	Oba predmeta sta na prostem
101262930.jpg#2r1e	entailment	A man in sunglasses puts his arm around a woman.	two people are being affectionate	A man in sunglasses putting his arm around a woman means there are two people (man, woman) and they must be affectionate.	Moški s sončnimi očali objema žensko.	dve osebi sta ljubeči	Moški v sončnih očalih, ki objema žensko, pomeni, da obstajata dve osebi (moški, ženska) in morata biti ljubeča.
4745083013.jpg#3r1n	neutral	a black guy sitting by some vegetables.	A man is selling vegetables.	The man sitting by some vegetables, can not be assumed to be selling them.	črnec, ki sedi ob zelenjavi.	Moški prodaja zelenjavo.	Človek, ki sedi ob zelenjavi, ne more domnevati, da jo prodaja.
2592485728.jpg#0r1c	contradiction	There is a person in a swimming cap, and swimming goggles that is swimming in the water with their head partially submerged.	A dog is swimming in the ocean.	A dog is not a person.	Oseba v plavalni kapi in plavalnih očalih plava v vodi z delno potopljeno glavo.	Pes plava v oceanu.	Pes ni oseba.
7423137882.jpg#2r1c	contradiction	A young male skateboarder is jumping from a great height onto a lower floor.	A skateboarder is sitting on a bench.	The skateboarder can not be jumping and sitting at the same time.	Mlad rolkar skače z velike višine v nižje nadstropje.	Na klopi sedi rolkar.	Rolkar ne more skakati in sedeti hkrati.
5181423725.jpg#1r1n	neutral	A child with blond-hair is wearing a yellow shirt and is sitting and eating desserts.	A child is eating cake while sitting.	A child with blond-hair is wearing a yellow shirt and is sitting and eating desserts does not indicate child is eating cake	Otrok s svetlimi lasmi nosi rumeno srajco in sedi ter jé sladico.	Otrok sede jé torto.	Otrok s svetlimi lasmi nosi rumeno srajco, sedi in jé sladico, ne pomeni, da otrok jé torto
6556864817.jpg#1r1c	contradiction	A little girl brown hair smiles in the swimming pool.	A child smiles while in the sand.	the swimming pool is full of water, not sand	Deklica rjavih las se smehlja v bazenu.	Otrok se smehlja v pesku.	bazen je poln vode, ne peska
4431234782.jpg#3r1n	neutral	A man is walking out a truck while carrying furniture.	person moving out	A man walking out a truck need not be moving out.	Moški odhaja iz tovornjaka, medtem ko prenaša pohištvo.	oseba, ki se izseli	Človeku, ki izstopi iz tovornjaka, ni treba izseliti.
6463605645.jpg#1r1e	entailment	A girl with a number 3 on her shirt is walking across a gymnasium floor.	a girl is walking	walking across refers to walking.	Deklica s številko 3 na majici hodi po tleh gimnazije.	dekle hodi	hoja čez se nanaša na hojo.
4893958897.jpg#2r1c	contradiction	A small boy stands in front of a mechanical elephant spouting smoke.	Two small girls are petting an elephant calf.	You wouldn't pet a mechanical animal, you would only pet a real animal like an elephant calf.	Majhen deček stoji pred mehanskim slonom, ki bruha dim.	Dve majhni deklici božata slončka.	Mehanske živali ne bi božal, božal bi samo pravo žival, kot je slonček.
124523773.jpg#3r1n	neutral	Many people are outside walking through a city.	Some people are walking with a cup of coffee.	Sentence 1: Group of people in a busy Asian city street. Sentence 2: The people are Asian.	Veliko ljudi je zunaj in se sprehajajo skozi mesto.	Nekateri ljudje hodijo s skodelico kave.	1. stavek: Skupina ljudi na prometni ulici azijskega mesta. 2. stavek: Ljudje so Azijci.
